,playerName,playerNameTrue,Pos,GP,TRB,AST,STL,BLK,PTS
30,Gary Trent,Gary Trent Jr.,SG,15.0,0.7,0.3,0.1,0.1,2.7
31,Khyri Thomas,Khyri Thomas,SG,26.0,0.8,0.3,0.3,0.2,2.3
32,Jarred Vanderbilt,Jarred Vanderbilt,PF,17.0,1.4,0.2,0.4,0.1,1.4
33,Bruce Brown,Bruce Brown,SG,74.0,2.5,1.2,0.5,0.5,4.3
34,Hamidou Diallo,Hamidou Diallo,SG,51.0,1.9,0.3,0.4,0.2,3.7
35,De'Anthony Melton,De'Anthony Melton,PG,50.0,2.7,3.2,1.4,0.5,5.0
36,Sviatoslav Mykhailiuk,Sviatoslav Mykhailiuk,SF,42.0,0.9,0.9,0.3,0.0,3.2
37,Keita Bates-Diop,Keita Bates-Diop,SF,30.0,2.8,0.6,0.6,0.5,5.0
38,Chimezie Metu,Chimezie Metu,PF,29.0,1.2,0.4,0.2,0.1,1.8
39,Alize Johnson,Alize Johnson,PF,14.0,1.4,0.1,0.1,0.2,0.9
40,Vince Edwards,Vince Edwards,SF,2.0,1.0,0.0,0.0,0.0,1.5
41,Devon Hall,Devon Hall,SG,5.0,0.2,0.6,0.0,0.0,1.0
42,Shake Milton,Shake Milton,SG,20.0,1.8,0.9,0.4,0.4,4.4
43,Ray Spalding,Ray Spalding,PF,14.0,3.4,0.4,0.6,0.6,3.9
44,Kevin Hervey,Kevin Hervey,PF,7.0,0.3,0.1,0.0,0.0,0.3
45,Thomas Welsh,Thomas Welsh,C,11.0,0.4,0.5,0.0,0.0,1.6
46,George King,George King,SF,1.0,1.0,0.0,0.0,0.0,0.0
47,Kostas Antetokounmpo,Kostas Antetokounmpo,PF,2.0,0.5,0.0,1.0,0.0,1.0
48,Markelle Fultz,Markelle Fultz,SG,14.0,3.1,3.8,0.9,0.3,7.1
49,Lonzo Ball,Lonzo Ball,PG,52.0,6.9,7.2,1.7,0.8,10.2
50,Jayson Tatum,Jayson Tatum,SF,80.0,5.0,1.6,1.0,0.7,13.9
51,Josh Jackson,Josh Jackson,SF,77.0,4.6,1.5,1.0,0.5,13.1
52,De'Aaron Fox,De'Aaron Fox,PG,73.0,2.8,4.4,1.0,0.3,11.6
53,Jonathan Isaac,Jonathan Isaac,PF,27.0,3.7,0.7,1.2,1.1,5.4
54,Lauri Markkanen,Lauri Markkanen,PF,68.0,7.5,1.2,0.6,0.6,15.2
55,Dennis Smith,Dennis Smith Jr.,PG,69.0,3.8,5.2,1.0,0.3,15.2
56,Zach Collins,Zach Collins,C,66.0,3.3,0.8,0.3,0.5,4.4
57,Malik Monk,Malik Monk,SG,63.0,1.0,1.4,0.3,0.1,6.7
58,Luke Kennard,Luke Kennard,SG,73.0,2.4,1.7,0.6,0.2,7.6
59,Donovan Mitchell,Donovan Mitchell,SG,79.0,3.7,3.7,1.5,0.3,20.5
60,Bam Adebayo,Bam Adebayo,C,69.0,5.5,1.5,0.5,0.6,6.9
61,Justin Jackson,Justin Jackson,SF,68.0,2.8,1.1,0.4,0.2,6.7
62,Justin Patton,Justin Patton,C,1.0,0.0,0.0,1.0,0.0,2.0
63,D.J. Wilson,D.J. Wilson,PF,22.0,0.5,0.1,0.1,0.0,1.0
64,T.J. Leaf,T.J. Leaf,PF,53.0,1.5,0.2,0.1,0.1,2.9
65,John Collins,John Collins,PF,74.0,7.3,1.3,0.6,1.1,10.5
